ID,Tweet,True Label,BERT,BERT 22,BERT 9,,,,,Model,T test
99,aik_hipagal_hihi_hipagal_hikhanay_hiko_hishadi_highar_hibana_hisakta_hihay_hippp_restpakistan_restirony_rest,0,1,1,1,,,,,BERT 22 vs BERT,0.02064662064
302,itna_hilog_hiko_hiek_hisaat_hikarne_hijitne_hitune_hiura_hideye_hiisse_hiacha_hibaar_hipirit_hilagata_hikam_hise_hikam_hilife_entime_envote_enpakke_hihote_hisirf_hipolitics_en,0,0,0,0,,,,,BERT 9 vs BERT,0.001458072117
795,show_enka_hinaam_hihai_hisatyamevjayte_restaur_hiuski_hidhun_himusic_endirector_enpe_hipalash_hisen_endwara_hichori_hihona_hika_hiilzaam_hihai_hisarcasm_restkya_hibaat_hihai_hi,1,1,0,1,,,,,BERT 9 vs BERT 22,0.4152087265
500,lolz_hibjp_hiwale_hipakde_hija_hirahe_hicarores_hik_hisath_hiaur_hidoosro_hiko_hibhrasht_hibol_hirahe_hiho_hiirony_rest,1,1,1,1,,,,,,
199,shraddha_hisati_hipratha_himein_hibhi_hithi_higalat_hitha_hitriple_entalaq_higalat_hihai_hi,0,0,0,0,,,,,,
612,sunday_enaa_higaya_hiirony_rest,1,1,0,0,,,,,,
1045,insaan_hiapney_hiamal_hise_hipehchana_hijata_hihai_hiwarna_hiachi_hibaatein_hitu_hideewaron_hipe_hibhe_hilikhi_hihoti_hihein_hiirony_restfb_hiwall_en,1,1,1,1,,,,,,
283,teri_himaa_hiki_hichut_hibahan_hike_hilode_enmadarchodo_hiko_hipolitics_enchahiye_hihar_hijagah_hibahan_hike_hilodo_hiko_hi,0,0,0,0,,,,,,
803,hindustani_hiindian_encricket_enteam_enke_hiliye_hieak_hihai_hibaki_hiham_hiaalag_hihai_hikunhi_hipanchkula_himein_hijo_hi30log_restmare_higye_hihai_hiswaal_hipuchu_hi,0,0,0,0,,,,,,
1234,aaj_hike_hidaur_himein_hikaun_hikarta_hihai_hisookun_hise_hibaatein_hikuch_hikaho_hitoh_hilog_hikhaane_hiko_hidaudte_hihein_hiirony_restcrtsy_hithanks_en4_restsukun_hi,0,1,1,1,,,,,,
219,wicket_endikshanshu_hinegi_hib_hizahoor_hifaroqui_hi10_rest17_restbijapur_hi16_rest2_restbijapur_hineed_en57_rest22_restbelvbij_restcricket_rest,0,0,0,0,,,,,,
1186,joshi_restab_hiapne_hihi_hishahar_hibegaane_hihain_hisari_hiduniya_hiab_hivaha_hija_hirahi_hihai_hiaur_hihum_hikahi_hiaur_hihi_hija_hirahe_hihain_hiirony_rest,1,1,1,1,,,,,,
1285,lahore_hiaward_entakreeb_hione_enday_enky_hibehtreen_hikhilari_hika_hiaward_enbabar_hiazam_hike_hiname_en,0,0,0,0,,,,,,
845,ravi_enbopara_hisamit_hipatel_enindia_enirony_restyeh_hikay_enho_hiradha_hihai_hibhaiya_hi,0,1,0,1,,,,,,
278,islamabad_hikon_hikehta_hihai_hike_hiye_hishehar_hisota_hiaao_hidekho_hiislamabad_hiunited_enone_encause_encricket_en,0,0,0,0,,,,,,
929,angrez_hichale_higaye_hipar_highulami_hichod_higaye_hiirony_resthumsuperpowerhain_rest,1,1,1,1,,,,,,
1159,halala_hike_hipaidaisho_hiki_higand_hijo_himari_hipadi_hihai_hiinka_hidhanda_hiband_hiho_hijaega_hitriple_entalaq_hin_hihalala_hika_hi,0,0,0,0,,,,,,
635,kya_hiram_hirahim_hinaam_hike_higunde_hike_hibhakto_hiko_himanmarji_hikarne_hidena_hibhi_hivote_enbank_enki_hipolitics_ennahi_hidallo_hichup_hikyu_hiho_hijo_himamta_restkare_hirajniti_hi,0,0,0,0,,,,,,
