ID,Tweet,True Label,BERT,BERT 22,BERT 9,,Model,T test
1625,hitler_endd_hilarkiyan_hitime_hipass_hinh_hihai_hiwo_hito_ensacha_hipyar_hichahti_hihai_hiapna_hihaq_hichahti_hihain_hitime_hipass_hinahi_hikyun_hike_hi,0,0,0,0,,BERT 22 vs BERT,0.0212492659
201,kabhi_hina_hibandho_hinadan_hiparindo_hiko_hiakhir_hiho_hiud_hihe_enhate_enhai_hi,0,0,0,0,,BERT 9 vs BERT,1
3137,history_enka_hiwahi_hipanna_hipadh_hik_hiaaya_hihai_hiye_hijispe_hinafrat_enlikhi_hihai_hilast_ennight_enmujhse_hibahes_hihui_hithi_hitareek_hifateh_hi,0,0,0,0,,BERT 9 vs BERT 22,0.01546245698
2193,ya_enlog_hihi_enbhart_hima_hiaatank_hiaur_hiterrorism_enbadhawa_hidata_hihai_hi,0,0,0,0,,,
2558,aap_hine_hihate_enki_hisuruat_hiki_hihar_hiinsan_himein_hibhar_hichuka_hih_hi,0,0,0,0,,,
666,janta_hika_hipalayan_hirape_enmurder_ennahi_hidikha_hijo_hihua_higalat_hihai_hibut_enuske_hiliye_hikaun_hizimedar_hihai_hiarmy_enki_hi,1,0,0,0,,,
1125,simple_enhai_hikoi_hiapna_highar_hiredlight_enarea_enmein_hibanaega_hikhud_hiracket_enchalaega_hitho_hirape_enhi_entho_hidik_hi,0,0,0,0,,,
1945,agar_hitujhe_hiislam_hior_himuslims_hise_hiitni_hinafrat_enhai_hito_enphir_hitu_hihindu_hikyoun_hinahi_hiban_hijata_hijaahil_hiinsaan_hiu_enretarded_enshit_en,1,1,1,1,,,
1993,you_enpoors_hijinko_hitum_himaa_hikehty_hiho_hihumary_hihan_hidoodh_hiwala_hiliterally_enroz_hiroz_hiuska_hirape_enkarta_hihai_hi,0,1,0,1,,,
1165,koch_hidin_hiphalay_hitu_hinay_hibakwas_hike_hithi_hina_hiterrorism_enpa_hib_hic_hiapny_hiagent_enbajty_hiho_hima_hiwo_hipakray_hijaty_hihain_hiphr_himanty_hinai_hiho_hirondu_hi,0,0,1,1,,,
3127,yadav_hiji_himaine_hiu_enp_hiki_hipichhli_higovt_enka_hiaankho_hise_hidekha_hihai_hiak_hiladki_hika_hisare_hiaam_himar_hi,0,1,0,1,,,
398,kash_hiek_hifilm_enk_hilie_hina_hiladkar_hiis_endesh_hiki_hibetio_hik_hilada_hiho_hito_ensyd_hirape_enband_enho_hijae_hior_hihumari_hisister_en,0,1,0,1,,,
2767,fraud_enrape_enkarke_hijayega_hito_enaisa_hihi_enbolenge_hiab_hiwo_hiashram_hiho_hiya_enrampal_hi,1,0,0,0,,,
2292,jesai_hikatil_hipm_enhutey_hihue_hiterrorism_enki_hibaat_hikartey_hihu_hisaley_hikapooreyyy_hipakistanzindabad_hi,0,0,0,0,,,
231,aur_hijab_hirape_enjae_hito_enpahuch_hijao_hidelhi_himombatti_hile_hike_hi,0,0,0,0,,,
333,brat_enkisko_hijyada_hiprefer_hikarne_hiwali_hibaat_hinahi_hisaaf_hisaaf_hidikhta_hihai_hihe_endie_enhard_enhater_enof_ensrk_himaine_hito_enk_hi,0,1,1,1,,,
2337,sir_enaap_hiko_hiunko_hireply_endekar_hibatane_hiki_hijarurat_hibilkul_hinahi_hithi_hiki_hiaapne_hikya_hikhel_hikhele_hihai_hiaur_hiaapne_hiky_hi,0,0,1,1,,,
42,koi_hipaise_hike_hiliye_hiita_higir_hisakta_hihai_hike_hirape_encase_enkarde_hichiiiiiiiii_hi,1,0,0,0,,,
1389,domada_himaulana_hiapne_hiallah_hiko_hiyaad_hikar_hile_hijab_hichoti_hisi_hi6_restsal_hiki_hibacchi_hika_hirape_enkarne_hi,1,1,0,1,,,
3416,agr_hiye_hidunya_hiaaj_hib_hisheikh_hisa_hiadi_hiaur_himolana_hiroomi_enko_hifollow_enkrey_hiaman_hihojaye_hiaur_hiterrorism_enkhtam_hihojaye_hiplz_enplz_en,0,0,0,0,,,
1529,uditraj_hi,1,0,0,0,,,
1077,adarsh_hichakki_hiko_hito_ensanjay_hikapoor_hibhi_hito_enrape_enkiya_hitha_hiclash_en,1,0,0,0,,,
3048,ek_hichij_hito_enh_hibhai_hitu_hih_hibilkul_hichutya_hiu_endnt_hihav_hia_enstand_enbhai_hijat_hika_hikhoon_hih_hitere_hiandr_hior_hijat_hijha_hihota_hih_hivhi_hihota_hih_hibikta_hini_hi,1,0,0,0,,,
75,21_restnd_enhmare_hibhagwan_hiko_hicon_en,0,1,1,1,,,
141,india_enpak_hika_hihamesha_hirape_enkarta_hihai_hi,0,0,0,0,,,
915,rishi_hibeta_hikalboushan_hiaaap_hika_hihi_enabu_hihai_hina_hijo_hiterrorism_enkar_hiraha_hitha_hipakistan_himain_hi,0,0,0,0,,,
861,bacchi_hichodne_hivale_hiprophet_enk_hipille_hiislam_himatlab_hibhadwe_hiaur_hiterrorism_engandu_hik_hibacche_hi,1,0,1,1,,,
3326,baal_hivivah_hito_ennitish_hisir_enaap_hiroke_hirhe_hihai_hipar_hirape_enrokne_hiki_hisapath_hikon_hilega_hi,0,0,0,0,,,
1697,konje_hike_hiya_endaar_hiko_hijozi_hiyeses_eni_enhate_enthe_encity_en,1,1,1,1,,,
1056,khan_hikhan_himuje_hiregret_enhota_hihe_enki_himene_hiseason_en7_restme_enaapke_hiliye_hivotes_enkiye_hithe_enaur_hiaapka_hifan_entha_hibut_en,1,1,1,1,,,
456,bhai_himovie_ense_hilog_hikuchh_hiseekhte_hito_enaaj_hihar_hiladka_hispiderman_enhota_hidon_ent_hibe_hisad_hiamerica_eneurope_enme_enmovie_enachhi_hithi_hifr_hi,0,1,1,1,,,
2718,we_enwill_hibecause_hiwe_encan_enand_enregarding_enterrorism_engolbohshan_hiyadavh_hibhabi_hinetu_hisingh_hiko_highomany_hipakistan_hiaaya_hitha_hikiya_hi,0,0,1,0,,,
591,khan_hii_enhate_enu_enkamya_himuje_hiregret_enhota_hihe_enki_hime_enkabhi_hiaapka_hifan_entha_hiaapk_hi,1,1,1,1,,,
400,bawli_hibooch_himein_hihindustani_hihu_hiteri_hitarah_hiisi_hika_hiagent_ennhi_hitu_hiaur_hitera_hibaap_hikrta_hihai_hinafrat_enki_hirajneeti_hihum_hito_enbhaichare_hiwale_hih_hi,1,0,0,0,,,
1439,esi_hijagah_hika_hibh_hikya_hifayda_hijahan_hiapni_hibat_endhang_hise_hina_hikeh_hipaye_hikhul_hike_hiyebh_hinahi_hibol_hipa_hirhe_hiap_hiki_hiye_hite_hi,0,0,0,1,,,
2936,abe_hibigg_enboss_enshow_enme_enbaki_hicontestants_hibhi_hihai_hiun_hise_hirelated_ennews_endeta_hinhi_hisirf_hisari_hiupdates_enhina_his_hi,0,0,1,1,,,
1359,aha_hipakistan_hiein_hipolice_enbhi_hirape_enkar_hiti_hihai_hitu_hijanwar_hi,0,0,0,0,,,
1134,rakshit_hiaur_hiek_hibaar_hibhi_hiyeh_hirape_enwale_hibaat_hisach_hihote_hitoh_hiislam_hiitna_hibada_hinahi_hihota_hiyeh_hiek_hibaat_hiyaad_hirakhna_himere_hibhai_hi,0,0,1,0,,,
1544,ha_hidonone_hibhi_hihritik_hiki_himaarli_hiek_hine_himohenjo_hidaro_hik_hisath_hiaur_hiek_hine_hikaabil_hik_hisath_hirape_enkiya_hi,0,0,0,1,,,
2841,achach_hichoddo_hiisse_hiyadav_hiugly_entu_hiindian_entha_hina_hiaur_hibhi_hiproxies_enpakri_hihain_hihum_hi,0,1,0,0,,,
1027,terrorism_enka_hikoi_hidharm_hinehi_hihota_hiaur_hitere_hihai_hisasti_hirand_hik_hibachcho_hika_hikoi_hiname_ennehi_hihota_hi,0,0,0,0,,,
1184,woh_hinishant_hiki_hiwajah_hise_hiakkian_hiad_hiko_hitroll_hikarte_hihai_hiincl_hime_endm_enme_enhumari_higrp_enme_enyahi_hibaat_hihoti_hihai_hinishant_hihate_enfaila_hiraha_hi,1,1,0,0,,,
2349,r_hibari_hiajeeb_hibaat_hiki_hiap_hiney_hiterrorist_ento_enterrorist_enhy_enkisi_hibhe_hiqoom_hika_hiho_hiusko_hiphansi_hidena_hi,0,0,0,0,,,
832,indian_ensayad_hirape_enwaise_hihi_enhota_hihoga_hitrain_enme_enlogo_hiko_himarna_hipunay_hih_hiapki_hinajar_hime_en,0,1,1,1,,,
2944,congrace_enke_hinakshe_hikadam_hipar_hichal_hirahi_hiabout_enbjp_hijo_hikaryakarta_hisaalo_hise_hiapana_hikhoon_hipasina_hiparty_enko_hide_hirahe_hihai_hiwo_hibewakoof_hihai_hi,1,0,0,0,,,
1286,sweety_enh_hihamare_hihindus_hi,0,0,0,0,,,
2435,ek_hiblackmailer_hireporter_hibhi_hihota_hitha_hiaashish_hinaam_hika_hijo_hihamesha_hiafwahen_hifaila_hikar_hilogon_hika_hikhoon_hichusta_hitha_hi,0,0,0,0,,,
733,muje_hiseasat_ense_hibhot_hinafrat_enhai_hiphans_higaya_hiaccount_enbana_hik_hijab_hiopen_enkarun_hiaccount_enhazer_hiimran_hinawaz_hihumza_hisub_enki_hihe_enpost_enaa_hijati_hihai_hi,1,0,0,0,,,
3050,ank1_higrins_entum_hiloug_hike_hipass_hihate_enamp_hicurse_enka_hitime_hikaha_hise_hiaata_hihai_hito_enyai_hinahi_hisikhati_hi,0,0,0,0,,,
2999,golagan_himumbai_hiblasts_enjinhone_hikiye_hiwo_hiya_ento_enjail_restm_enh_hiya_enfaraar_hihai_hi,1,0,0,0,,,
2098,mr_himukesh_hiambanee_himadarchaod_hiterre_hibetee_hinisha_hiushkee_higaand_hikisee_hiaur_hise_himarayee_hiair_enbaolee_himai_hirape_enkiya_hiteree_hipolice_enki_himss_hichaodoon_hi,0,0,0,0,,,
2041,i_enhate_enppl_enwho_entweet_enlike_entht_enzindagi_hijhand_hihai_hiaur_hiinhe_hichudaayi_hiki_hipadi_hihai_hi,1,1,1,1,,,
1804,viv_hiko_hiek_hidin_hims_hidikha_hihai_hi2nd_restday_hibhool_hijati_hihai_hihate_enthis_en,1,1,1,1,,,
2929,chal_hihm_hinajaiz_hihai_hitu_hitoh_hisuar_hiki_hijaaiz_hiaulaad_hihai_hitoh_hiapna_hidna_hitest_enkara_hik_hitera_hi,0,0,0,0,,,
3155,stop_enhate_enspeech_encomments_enpa_hiji_hidusro_hipar_hibharosa_hikar_hik_hiapnay_hishayad_hikuch_hiziyada_hihi_enkeh_hidiya_hiresult_hidhiskiyaoooo_hi,0,0,0,0,,,
537,kya_hikashmiri_hihindu_higirls_enka_hirape_enyaad_hihai_hi1990_restmuslims_hine_hikiya_hitha_hiyadav_hiji_hi,0,0,0,0,,,
3348,thore_hiek_hibar_enphir_hi90s_restki_hitarah_hifauj_hike_hihath_hikhol_hike_hidekho_hiindia_enkya_hiduniya_hise_hiterrorism_enkhatam_hikar_hidegi_hiindianarmy_en,0,0,0,0,,,
719,i_enhate_engirls_enbolne_hivale_hilonde_hivohi_hihote_hihai_hijo_hisale_hiyoutube_enpar_hijaakr_hihow_hito_enimpress_engirls_enjaisi_hibakchod_hivideos_endekhte_hihai_hi,0,1,1,1,,,
1140,guha_hidesh_hiko_hikhatra_hiislami_hiterrorism_ense_hihai_hi1947_restki_higalti_hisudharni_hihogi_hi,0,1,1,1,,,
