ID,Tweet,True Label,BERT 22,BERT 9,BERT,,Model vs Model,T test
1561,bachhe_hiachha_hinahi_hikhele_hihai_hi_otinzy_hi,0,0,0,0,,BERT 22 vs BERT 9,0.0003923702936
1916,sirjee_hicriminals_ense_hidikkat_hihai_himujhe_hito_hi_otgender_ennahi_hidekhti_hiunka_hi_otmardon_hike_hibaare_himein_hibolne_hiko_hibohot_hihain_hi,0,0,0,0,,BERT 22 vs BERT,0.2925051114
2390,poore_hi5_otminute_ensuni_himaine_hirahul_otgandhi_otki_hispeech_en_ot_otsangakkarapic_hi_ottwitter_en_otcom lpujnssllk_hi,1,1,1,1,,BERT 9 vs BERT,0.00587598043
270,mahila_hidomestic_enviolence_enki_hisikar_hiho_hiprofession_enmae_hibadhna_hichati_hiho_hiunke_hiliye_hiwomen_enhostel_enki_hisuvidha_hidi_hijye_hi,0,0,0,0,,,
153,sir_en_otpyaar_hika_hipunchnama_hi2_otrelease_enhue_hi1_otdin_hiho_higaya_hihai_hi_otreview_enkab_hidoge_en_otaaj_hishaam_hiko_hidost_enlog_hiplan_enbana_hirahe_hihai_hi,1,1,1,1,,,
530,_ot_otpandit_higopabandhu_hidas_hi_othe_hialso_enstarted_ensatyavadi_hibana_hividyalaya_hiopen_ento_hiall_encaste_ennear_enpuri_hi_ot,0,0,0,0,,,
2333,shahrukh_hikhan_hifair_en_otlovely_enlaga_hike_hibaadshah_hibana_hitha_hi_ot,1,1,1,1,,,
1328,bikash_hiki_hibat_hibihar_hime_hitab_hitak_hinahi_hiho_hisakti_hijab_hitak_hibihari_hicaste_enko_hinahi_hichorte_hi_otchote_hitapke_hiko_hithes_hipahuchana_hinahi_hichorte_hip_hi_otm_himodi_otbhi_hinahi_hi,0,0,0,0,,,
1543,ye_hidhai_hikilo_enka_hihaath_hijab_hikisi_hipe_hipadta_hihai_hina_hi_ottoh_hi_ot,0,0,0,0,,,
1511,bhai_hisamosa dena_ot_ot_ottumlog_hidikh_higaye_hiaudience_enmein_hi_otaaj_hiki_hiraat_hihai_hizindagi_hi_ot,1,1,1,1,,,
1130,kumkum_hibhagya_hi_otaansoo_hi_ot,0,0,0,0,,,
2958,hamara_hidesh_hibhagwan_hibharose_hichal_hiraha_hihai_hiaur_hihum_hiuske_hinaam_hipe_hilad_hirahe_hihai_hi_ot,0,1,1,1,,,
974,yeh_hiaccha_hihai_hi_otlogo_enke_hipaas_hitweets_ennahi_hihote_hito_hikoi_hibhi_hipoll_enbana_hidete_hihai_hi_ot,1,1,1,1,,,
928,celebsintheirpastlives_otkumar_envishwas_hiwas_enshikhandi_hi,0,0,1,1,,,
3153,beef_enkhane_hike_hiliye_hipakistan_enjaane_hise_hipehle_hizomato_hipar_hirating_enzarur_hidekh_hilena_hi,1,1,1,1,,,
805,bandya_hitaaki_hibharli_hikaa_hi_ot,0,0,0,0,,,
2380,sanjay_hileela_enbhansali_hiannounces_endevdas_hi2_otstarring_enranveer_hisingh_hi_otdjokovicdeepika_ot,1,1,1,1,,,
344,return_engift_enme_hiyoutube_hika_hilink_en_otdekh_hitere_hisansaar_hiki_hihaalat_hikya_hiho_higayee_hibhagwaan_hi_otkitna_hibadal_higaya_hiinsaan_hi,1,1,1,1,,,
3212,jitna_hipyaar_hiindia_ense_himatch_enke_hidin_hikarte_hihain_hi_otutna_hibaaki_hidin_hibhi_hikarte_hi_otto_hidesh_hiki_hiye_hihaalat_hinahi_hidekhni_hipadhti_hi,0,1,1,1,,,
1871,is_hiprince_enmadarchod_hiko_hikoi_hito_hichoose_enkaro_hi_ot,0,0,0,0,,,
968,aur_hibhi_higam_hihai_hiduniya_himein_himohabbat_hike_hisiwa_hi_otdaaru_hike_hipaise_hi_ot,1,1,1,1,,,
715,srk_hi_otanna_hine_hiye_hipyar_hika_hinaatak_himere_hisaath_hibhi_hikhel_hichuka_hihai_hidost_en_otunforgettable_ot,1,1,1,1,,,
652,ho_higaya_hipakistaniyo_hitumhara_hifake_enbday_hicelebration_en_otab_hidekhna_hikal_hiindependence_enday_enkaise_himanaya_hijaata_hihai_hi,1,1,1,1,,,
2893,wicket_enlena_hicongressmuktbharat_otse_hibhi_hizyada_hizaroori_hiab_hi,1,1,1,1,,,
3107,not_enbragging_enbut_enkal_hirang_hi_otpanchami_hiki_hichutti_hihai_hibhopal_enme_hiyay_ot,0,1,1,1,,,
1181,rich_enguy_en_otmere_hipaas_higlen_enhai_hi_otjd_enhai_hi_otblack_enlabel_enhai_hi_otdewars_enhai_hi_ottumhare_hipaas_hikya_hihai_hi_otpoor_enguy_en_otmere_hipaas_hi_otmere_hipaas_hi_otold_enmonk_enhai_hi_otftw_ot,1,1,1,1,,,
1935,hahaha_hiye_hilo_hi_otfor_ena_enchange_enmai_hiromance_enki_hibaat_hikar_hirahi_hihu_hiaur_hitum_hiviolence_enki_hi,0,0,0,0,,,
3009,vrna_hiaap_highosna_hikr_hidijie_hik_hiis_hidesh_hime_higarib_hihone_hika_hiadhikar_hisirf_hilower_encaste_enwalo_hiko_hih_hi_otgeneral_enwale_hito_hiameer_hihi_hipaida_hihote_hih_hi_ot,0,0,0,0,,,
2200,_ot_otsir_enkal_himeri_hidilli_hiwali_hitrain_enchhoot_higayee_hithi_hiraat_hiko_hi_otnahi_hito_hiaapke_hibagal_hiwali_hiwindow_enseat_enpe_hibaitha_hihota_hiabhi_hi,1,1,1,1,,,
642,unfollowers_hise_hidaro_hinahi_hi_otharaam_hike_hipillo_hiko_hikhoj_hikhoj_hise_higoliya_himaar_hido_hi,1,1,1,1,,,
1189,_otpehle_hijahan_hikuch_histates_enmein_hicrf_hi17_otcaste_enthhi_hi_otab_hi40_otto_hi50_ot_ot1_otseat_enk_hiliye_hi17_otki_hijagah_hi40_otya_hi50_otlog_hi_ot,0,0,0,0,,,
2270,kaun_hinayi_hiladki_hi_otzara_enmujhe_hibhi_hitoh_hihandle_enmalum_hichale_hi,0,1,1,1,,,
1117,andheri_hiraaton_himein_hisumsaan_hitl_enpar_hi_othar_hiaafat_hifailaane_hiko_hi_otek_himessiah_ennikalta_hihai_hi_otjisse_hilog_hi_otkehte_hihai_hi,1,1,1,1,,,
3208,umesh_hiyadav_hibhosdike_hi_ot,0,0,0,0,,,
52,popcorn_enbhi_hikhatam_hiho_higaya_hi,0,0,0,0,,,
2677,_ot_ot_otjab_hitak_hipublic_encaste_en_otreligion_en_otstate_enke_hibasis_enko_hidesh_hise_hijyaada_hiimportance_endegi_hi,0,0,0,0,,,
541,khabar_hihai_hiki_hiashutosh_hiji_hinayantara_hisahgal_hise_hiinspire_enho_hike_hijosh_enmein_hiapna_hi10_otrupaye_hika_hicoupon_enparchoon_hiwale_hiko_hiwapas_hilauta_hirahe_hihain_hi_ot,1,1,1,1,,,
1569,hatao_hiyaar_hi_otmatar_hipaneer_hipe_hiconcentrate_enkaro_hi_ot,0,0,1,1,,,
